,name,category,star,star_count,review,address,위도,경도
18,곰포차,실내포장마차,3.1,13건,62,서울 서초구 효령로52길 8,37.4838715283798,127.012664897282
19,노브랜드버거 남부터미널점,햄버거,4.0,5건,32,서울 서초구 효령로 292 1층,37.4835466074664,127.015110886678
20,도담,"떡,한과",3.8,10건,25,서울 서초구 효령로61길 14-13,37.4869513916894,127.01964567733
21,더브레드블루 서초점,"제과,베이커리",4.1,8건,51,서울 서초구 서초중앙로8길 17 1층,37.4867883623402,127.01633857201
22,ttt커피 비씨카드점,카페,2.0,4건,41,서울 서초구 효령로 275 1층,37.4849697732269,127.014200758137
23,부일갈비 본점,갈비,4.3,7건,52,서울 서초구 서초중앙로2길 42,37.4839052530171,127.019703786757
24,우면산버드나무집,"육류,고기",3.4,35건,8,서울 서초구 남부순환로 2461,37.4829026381052,127.019538111058
25,송가옥,"육류,고기",4.6,7건,15,서울 서초구 반포대로20길 57 한송빌딩 지하 1층,37.488580801863,127.012907101872
26,천지궁 서초점,중화요리,3.5,28건,23,서울 서초구 반포대로12길 33 현대오피스텔 1층,37.4853177812091,127.01308677007
27,마구로센 남부터미널점,참치회,3.3,9건,37,서울 서초구 반포대로14길 58 2층,37.4861893857813,127.01413665284
28,늘푸름홍천한우 서초점,"육류,고기",3.7,4건,75,서울 서초구 효령로55길 47,37.4869640877949,127.014009142827
29,뱅스시,"초밥,롤",4.4,12건,71,서울 서초구 반포대로10길 35 서초지웰 상가동 지하 1층 104호,37.4842424493185,127.013690467291
30,든든한우가,"육류,고기",4.1,8건,88,서울 서초구 반포대로16길 34,37.4864004944284,127.012517655925
31,굴뚝집 남부터미널점,"육류,고기",3.6,8건,115,서울 서초구 효령로53길 23,37.4856969721579,127.0134734159
32,스시환,"초밥,롤",2.8,22건,39,서울 서초구 서초중앙로 38,37.4854679435006,127.016275305738
33,레트로카페트레이더,테마카페,3.6,9건,33,서울 서초구 효령로 316-1 2층,37.4854201490875,127.018966531325
34,흑돼지삼백식당 서초점,"육류,고기",2.9,9건,57,서울 서초구 효령로55길 27 2층,37.4860159449826,127.014109144504
35,서초명가 서초본점,"해물,생선",4.5,4건,41,서울 서초구 효령로55길 28,37.4861327609484,127.01447946651
36,만다린,중화요리,3.4,8건,91,서울 서초구 남부순환로335길 37,37.4842132374078,127.021650747994
37,나주곰탕 서초본점,곰탕,3.6,43건,34,서울 서초구 효령로 259,37.484510092862,127.012479463325
38,강촌식당 서초점,닭요리,3.4,5건,51,서울 서초구 효령로 316-1 1층,37.4854201490875,127.018966531325
39,매드포갈릭 예술의전당점,패밀리레스토랑,3.5,25건,57,서울 서초구 반포대로 22 서초평화빌딩 지하1층,37.4828043695941,127.012703271873
40,705사케집 교대점,일본식주점,3.0,4건,26,서울 서초구 사임당로 26 신영빌딩 1층,37.4876445587152,127.012960084157
41,스시36.5,"초밥,롤",5.0,7건,34,서울 서초구 효령로 307 1층,37.4855962923795,127.01783408772
42,생활맥주 남부터미널점,"호프,요리주점",4.0,5건,15,서울 서초구 효령로55길 15 벨타워오피스텔 1층 104호,37.4854603723598,127.01420017259
