,name,category,address,score,eval_cnt,review_cnt
246,팔당반점,중식,(지번) 서초동 1425-1,0.0,0건,리뷰 0
247,김가네 남부터미널점,분식,(지번) 서초동 1588-6,3.0,3건,리뷰 3
248,우래기사식당,기사식당,(지번) 서초동 1606-5,2.0,2건,리뷰 1
249,완산골명가 남부터미널점,국밥,(지번) 서초동 1441-1,0.0,0건,리뷰 1
250,동호숯불바베큐호프,"호프,요리주점",(지번) 서초동 1603-69,4.5,2건,리뷰 7
251,서초동고기집,"육류,고기",(지번) 서초동 1442-11,5.0,1건,리뷰 4
252,미에뜨케이크,"제과,베이커리",(지번) 서초동 1619-6,4.8,4건,리뷰 3
253,옛다원 서초점,카페,(지번) 서초동 1602-8,4.0,2건,리뷰 4
254,락가,일본식주점,(지번) 서초동 1600-9,5.0,1건,리뷰 4
255,일억조중국요리,중화요리,(지번) 서초동 1579-5,1.0,2건,리뷰 0
256,빚은 남부터미널역점,"떡,한과",(지번) 서초동 1443-2,0.0,0건,리뷰 0
257,교대시골밥상,한식,(지번) 서초동 1627-5,3.0,1건,리뷰 3
258,진오돌뼈,한정식,(지번) 서초동 1580-6,0.0,0건,리뷰 0
259,서초회관,설렁탕,(지번) 서초동 1451-42,2.5,2건,리뷰 0
260,참치현,일식집,(지번) 서초동 1601-1,0.0,0건,리뷰 2
261,권서방네순대국왕순대 남부터미널점,순대,(지번) 서초동 1603-68,3.0,9건,리뷰 2
262,브로앤시스,카페,(지번) 서초동 1445-13,5.0,1건,리뷰 0
263,치&강 남부터미널점,닭강정,(지번) 서초동 1446-1,0.0,0건,리뷰 2
264,생생포차,실내포장마차,(지번) 서초동 1451-16,4.3,3건,리뷰 1
265,바나프레소 교대사거리점,카페,(지번) 서초동 1598-1,0.0,0건,리뷰 0
266,돈바바,갈비,(지번) 서초동 1427-17,5.0,2건,리뷰 0
267,을지로골뱅이와 꼬까닥치킨 진짜생맥주 서초본점,"호프,요리주점",(지번) 서초동 1589-14,5.0,1건,리뷰 1
268,오사카동,"돈까스,우동",(지번) 서초동 1602-10,2.1,27건,리뷰 11
269,카페고도,카페,(지번) 서초동 1451-23,0.0,0건,리뷰 6
270,백암순대국,순대,(지번) 서초동 1431-10,0.0,0건,리뷰 0
271,바다풍경,회,(지번) 서초동 1431-10,0.0,0건,리뷰 1
272,미스터브리즈커피 남부터미널점,커피전문점,(지번) 서초동 1427-4,3.5,2건,리뷰 0
273,9카페,카페,(지번) 서초동 1443-13,5.0,2건,리뷰 1
274,베리언스,카페,(지번) 서초동 1434-12,0.0,0건,리뷰 0
275,라크레모사,아이스크림,(지번) 서초동 1605-9,3.0,2건,리뷰 5
276,라이언위스키 교대2호점,술집,(지번) 서초동 1588-2,0.0,0건,리뷰 0
277,브로드커피,커피전문점,(지번) 서초동 1602-8,5.0,1건,리뷰 1
278,가정식백반 남부촌,한식,(지번) 서초동 1451-27,0.0,0건,리뷰 1
279,퐁데자르,"제과,베이커리",(지번) 서초동 1455-8,5.0,3건,리뷰 1
280,본도시락 남부터미널점,도시락,(지번) 서초동 1603-1,0.0,0건,리뷰 3
281,커피스타카토,커피전문점,(지번) 서초동 1617-33,0.0,0건,리뷰 0
282,썸,음식점,(지번) 서초동 1564-2,0.0,0건,리뷰 0
283,충무식당,한식뷔페,(지번) 서초동 1445-3,0.0,0건,리뷰 1
284,그래놀라와 오슬로우,커피전문점,(지번) 서초동 1451-10,5.0,1건,리뷰 5
285,애견호텔,애견카페,(지번) 서초동 1603-66,0.0,0건,리뷰 0
286,꼬꼬막 서초점,한식,(지번) 서초동 1601-1,2.0,1건,리뷰 4
287,한국찹쌀순대,순대,(지번) 서초동 1599-2,4.5,2건,리뷰 1
288,서초복집,복어,(지번) 서초동 1427-4,0.0,0건,리뷰 0
289,먹마포차,실내포장마차,(지번) 서초동 1443-6,2.5,2건,리뷰 1
290,서해수산,회,(지번) 서초동 1588-11,3.0,1건,리뷰 1
291,바빈스커피 서초점,커피전문점,(지번) 서초동 1442-9,5.0,1건,리뷰 0
292,풀떼기,카페,(지번) 서초동 1596-6,3.3,3건,리뷰 2
293,전주콩나물해장국밥,국밥,,0.0,0건,리뷰 0
294,루엘드파리 아뜰리에,"제과,베이커리",(지번) 서초동 1445-13,0.0,0건,리뷰 7
295,보네르67,카페,(지번) 서초동 1442-9,0.0,0건,리뷰 3
296,배달삼겹돼지되지 서초점,삼겹살,(지번) 서초동 1627-5,0.0,0건,리뷰 1
297,앤티앤스프레즐 남부터미널점,"제과,베이커리",(지번) 서초동 1446-1,5.0,1건,리뷰 0
298,우리들손칼국수,국수,(지번) 서초동 1445-3,4.5,2건,리뷰 1
299,서초손칼국시보쌈 서초점,"족발,보쌈",(지번) 서초동 1603-68,5.0,1건,리뷰 1
300,서초정육식당,"육류,고기",(지번) 서초동 1601-1,0.0,0건,리뷰 1
301,울엄마김밥 서초본점,분식,(지번) 서초동 1428-13,4.0,2건,리뷰 0
302,스테프핫도그 남부터미널점,패스트푸드,(지번) 서초동 1446-1,0.0,0건,리뷰 0
303,멜슨하우스,카페,(지번) 서초동 1604-4,0.0,0건,리뷰 0
304,나래종합한식분식,한식,(지번) 서초동 1603-9,0.0,0건,리뷰 2
305,게장부페,뷔페,(지번) 서초동 1622-19,0.0,0건,리뷰 0
306,마포 돼지갈비생삼겹살,갈비,(지번) 서초동 1431-1,5.0,1건,리뷰 1
307,커피오도레,커피전문점,(지번) 서초3동 1580-6,3.0,2건,리뷰 2
308,페이드,카페,(지번) 서초동 1588-12,0.0,0건,리뷰 0
