,address,category,eval_cnt,name,review_cnt,score
125,서초동 1588-6,"육류,고기",12,새마을식당 남부터미널점,12,1.4
126,서초동 1621-9,일본식주점,1,류 서초점,16,5.0
127,서초동 1602-5,커피전문점,8,커피빈 남부터미널역점,1,3.5
128,서초동 1443-28,한식,1,소나기,5,4.0
129,서초동 1457-2,샌드위치,30,퀴즈노스서브 남부터미널점,11,1.4
130,서초동 1459-8,동남아음식,6,샤브향 서초남부점,19,3.2
131,서초동 1589-1,카페,3,카페토다 서초점,0,3.7
132,서초동 1597-2,"육류,고기",1,우공뭉티기 서초점,36,1.0
133,서초3동 1600-1,회,2,강릉경북회집,4,4.0
134,서초동 1621-27,"육류,고기",7,해방촌HBC고깃집 남부터미널점,4,4.6
135,서초동 1446-1,카페,3,공차 남부터미널점,2,3.0
136,서초동 1585-18,순대,7,함경순대,2,4.1
137,서초동 1626-9,닭강정,3,가마로강정 교대점,2,4.0
138,서초동 1601-1,카페,8,공차 서초점,0,2.9
139,서초동 1459-9,한식,10,밥심이,8,4.2
140,서초동 1439-1,실내포장마차,1,한신VIP일번지포차,1,5.0
141,서초동 1606-4,중화요리,2,중국성,2,3.0
142,서초3동 1458-1,치킨,0,바바치킨 서초직영점,2,0.0
143,서초동 1601-1,"족발,보쌈",0,진배족발 서초점,2,0.0
144,서초동 1599-2,중화요리,13,명가교동짬뽕 서초점,4,3.0
145,서초동 1623-8,커피전문점,4,파스쿠찌 서초점,2,3.0
146,서초1동 1443-3,삼계탕,6,삼계탕마을 서초점,9,3.2
147,서초동 1599-2,"돈까스,우동",4,셰프의돈까스 남부터미널점,10,4.0
148,서초동 1442-19,피자,1,칠번가피자 서초교대점,23,5.0
149,서초동 1602-10,중화요리,9,강남짬뽕,24,2.0
150,서초동 1578-5,실내포장마차,0,리어카포차 서초교대1호점,7,0.0
151,서초동 1589-14,"찌개,전골",2,큰이모 부대찌개,7,5.0
152,서초동 1443-12,순대,8,강창구찹쌀진순대 남부터미널점,5,2.6
153,서초동 1624-2,중식,0,취홍,3,0.0
154,서초동 1627-5,커피전문점,7,페임커피,5,4.7
155,서초동 1601-2,치킨,9,조가홍닭 남부터미널점,5,4.4
156,서초동 1445-3,샌드위치,4,12바스켓,40,5.0
157,서초동 1444-2,"육류,고기",3,광시 신흥농장직영점,5,4.0
158,서초동 1588-6,"호프,요리주점",2,브루웍스 남부터미널역점,8,4.0
159,서초동 1589-14,"족발,보쌈",2,원할머니보쌈족발 서초점,4,3.0
160,서초동 1444-1,카페,2,카페포레스트,3,4.5
161,서초동 1601-1,"해물,생선",1,군선생 남부터미널점,4,5.0
162,서초동 1603-66,치킨,1,양계장집아들,6,4.0
163,서초동 1621-3,카페,6,마담버터플라이,10,3.0
164,서초동 1599-2,"해물,생선",10,해물솥밥모랑 남부터미널점,8,3.3
165,서초동 1579-9,"해물,생선",12,진미정생선구이,5,3.0
166,서초동 1603-1,피자,9,피자스쿨 남부터미널역점,2,4.8
167,서초동 1588-13,순대,4,병천순대왕족발,4,3.0
168,서초동 1588-8,커피전문점,1,커피829 남부터미널점,11,5.0
169,서초동 1443-6,피자,1,파파존스 서초점,1,5.0
170,서초동 1588-2,카페,5,에슬로우 서초1호점,2,2.6
171,서초동 1601-1,순대,8,담소소사골순대육개장 남부터미널점,5,2.9
172,서초동 1603-54,커피전문점,1,엔제리너스 남부터미널점,1,5.0
