,name,address,score,score_cnt,review_cnt,awareness,lat,lng
163,앳모스피어,성수동2가 277-114,0.0,0,5,0.5,37.5434256,127.0637424
164,빽다방 서울숲역점,성수동1가 656-565,3.2,5,9,5.9,37.5464199,127.0448606
165,티핀,성수동1가 658-1,4.5,13,17,14.7,37.5451731,127.0452239
166,바나나트리 성수점,성수동1가 685-315,0.0,0,11,1.1,37.548099,127.0428089
167,이디야커피 성수중앙점,성수동2가 315-74,0.0,0,0,0.0,37.5442438,127.0552721
168,이디야커피 건대역점,화양동 7-3,2.3,8,4,8.4,37.5407487,127.0690014
169,카페드라이,자양동 8-27,3.6,9,93,18.3,37.5406795,127.0670911
170,북카페초록,성수동1가 668-32,4.5,2,10,3.0,37.5468142,127.0440442
171,비엔나커피하우스성수점,성수동2가 325-2,4.0,1,4,1.4,37.5402355,127.0550975
172,그레이스톤,성수동2가 333-140,4.0,9,56,14.6,37.5415158,127.0534021
173,라비옹,성수동1가 656-292,4.0,1,18,2.8,37.5489087,127.0439869
174,파스쿠찌 서울숲점,성수동1가 14-19,2.5,6,4,6.4,37.5467161,127.0500851
175,디스커버커피엔루엘드본노엘,성수동1가 13-110,5.0,2,6,2.6,37.5493315,127.0490345
176,카페마놀린 뚝섬점,성수동1가 8-37,3.3,3,3,3.3,37.5468352,127.0465268
177,슈퍼오아시스 성수역점,성수동2가 273-15,0.0,0,60,6.0,37.5430809,127.0595959
178,카페제제,성수동2가 301-66,4.0,1,27,3.7,37.5441744,127.0500992
179,달롤 서울숲점,성수동1가 668-49,0.0,0,26,2.6,37.5463732,127.0436526
180,카페베네 건대2호점,화양동 48-5,2.6,6,3,6.3,37.5414786,127.0667213
181,솔버 2호점,화양동 48-4,5.0,1,8,1.8,37.5414435,127.0669661
182,떼루와 성수점,성수동1가 13-155,4.3,3,4,3.4,37.5480836,127.0484811
183,스위트룸,화양동 47-73,3.0,4,10,5.0,37.5414686,127.0681947
184,오설록아모레성수,성수동2가 277,0.0,0,1,0.1,37.5441653,127.0614642
