,name,age,height,position,league,team,market value
424,Mike Maignan,24,191,Goalkeeper,Ligue 1,LOSC Lille,286
425,Quincy Promes,28,174,Forward,Other league,Ajax Amsterdam,286
426,Michy Batshuayi,26,184,Forward,Premier League,Chelsea FC,286
427,Gabriel Paulista,29,187,Defender,LaLiga,Valencia CF,286
428,Ryan Fraser,26,163,Forward,Premier League,AFC Bournemouth,286
429,Jesse Lingard,27,174,Forward,Premier League,Manchester United,286
430,Danny Ings,27,178,Forward,Premier League,Southampton FC,286
431,Suso,26,177,Forward,Ligue 1,Sevilla FC,286
432,Marc Bartra,29,184,Defender,LaLiga,Real Betis Balompié,286
433,Thomas Delaney,28,182,Midfielder,Bundesliga,Borussia Dortmund,286
434,Josip Ilicic,32,190,Forward,Serie A,Atalanta BC,286
435,Marcel Halstenberg,28,188,Defender,Bundesliga,RB Leipzig,286
436,Anthony Lopes,29,184,Goalkeeper,Ligue 1,Olympique Lyon,286
437,Kevin Kampl,29,178,Midfielder,Bundesliga,RB Leipzig,286
438,Ivan Perisic,31,187,Forward,Bundesliga,Bayern Munich,286
439,Mesut Özil,31,180,Midfielder,Premier League,Arsenal FC,286
440,Krépin Diatta,21,175,Forward,Other league,Club Brugge KV,273
441,Dodi Lukebakio,22,187,Forward,Bundesliga,Hertha BSC,273
442,João Pedro,18,182,Forward,Premier League,Watford FC,260
443,Rayan Cherki,16,176,Midfielder,Ligue 1,Olympique Lyon,260
444,Antony,20,172,Forward,Other league,São Paulo Futebol Clube,260
445,Dwight McNeil,20,183,Forward,Premier League,Burnley FC,260
446,Thiago Almada,18,171,Midfielder,Other league,Club Atlético Vélez Sarsfield,260
447,Edmond Tapsoba,21,192,Defender,Bundesliga,Bayer 04 Leverkusen,260
448,Carlos Vinícius,25,190,Forward,Other league,SL Benfica,260
449,Emerson,21,183,Defender,LaLiga,Real Betis Balompié,260
450,Benoît Badiashile,19,194,Defender,Ligue 1,AS Monaco,260
451,Luiz Felipe,23,187,Defender,Serie A,SS Lazio,260
452,Douglas Luiz,21,178,Midfielder,Premier League,Aston Villa,260
453,Myron Boadu,19,183,Forward,Other league,AZ Alkmaar,260
454,Raphinha,23,175,Forward,Ligue 1,Stade Rennais FC,260
455,Calvin Stengs,21,182,Forward,Other league,AZ Alkmaar,260
456,Pau Torres,23,191,Defender,LaLiga,Villarreal CF,260
457,Sergiño Dest,19,175,Defender,Other league,Ajax Amsterdam,260
458,Pablo Fornals,24,178,Midfielder,Premier League,West Ham United,260
459,Florentino,20,184,Midfielder,Other league,SL Benfica,260
460,Diogo Dalot,21,183,Defender,Premier League,Manchester United,260
461,Loren Morón,26,185,Forward,LaLiga,Real Betis Balompié,260
462,Lucas Tousart,22,185,Midfielder,Ligue 1,Olympique Lyon,260
463,Unai Núñez,23,186,Defender,LaLiga,Athletic Bilbao,260
464,Marc Roca,23,184,Midfielder,LaLiga,RCD Espanyol Barcelona,260
465,Valentin Rongier,25,172,Midfielder,Ligue 1,Olympique Marseille,260
466,Jarrod Bowen,23,175,Forward,Premier League,West Ham United,260
467,Fikayo Tomori,22,184,Defender,Premier League,Chelsea FC,260
468,Jonathan Bamba,24,175,Forward,Ligue 1,LOSC Lille,260
469,Marc Cucurella,21,175,Midfielder,LaLiga,Getafe CF,260
470,Carles Aleñá,22,180,Midfielder,LaLiga,Real Betis Balompié,260
471,Kasper Dolberg,22,187,Forward,Ligue 1,OGC Nice,260
472,Marcos Llorente,25,184,Midfielder,LaLiga,Atlético Madrid,260
473,Álvaro Odriozola,24,176,Defender,Bundesliga,Bayern Munich,260
474,Miguel Almirón,26,174,Midfielder,Premier League,Newcastle United,260
475,Viktor Tsygankov,22,177,Forward,Other league,Dynamo Kyiv,260
476,Unai Simón,22,190,Goalkeeper,LaLiga,Athletic Bilbao,260
477,Timothy Castagne,24,180,Defender,Serie A,Atalanta BC,260
478,Joachim Andersen,23,192,Defender,Ligue 1,Olympique Lyon,260
479,Talisca,26,190,Midfielder,Other league,Guangzhou Evergrande Taobao,260
480,Renato Sanches,22,176,Midfielder,Ligue 1,LOSC Lille,260
481,Wilmar Barrios,26,178,Midfielder,Other league,Zenit St. Petersburg,260
482,Zeki Celik,23,180,Defender,Ligue 1,LOSC Lille,260
483,Lewis Cook,23,175,Midfielder,Premier League,AFC Bournemouth,260
484,Keita Baldé,25,184,Forward,Ligue 1,AS Monaco,260
485,Nadiem Amiri,23,180,Midfielder,Bundesliga,Bayer 04 Leverkusen,260
486,Lucas Vázquez,28,173,Forward,LaLiga,Real Madrid,260
487,Jeremie Boga,23,174,Forward,Serie A,US Sassuolo,260
488,Mario Pasalic,25,188,Midfielder,Serie A,Atalanta BC,260
489,Andreas Pereira,24,178,Midfielder,Premier League,Manchester United,260
490,André Silva,24,184,Forward,Bundesliga,Eintracht Frankfurt,260
491,Jamie Vardy,33,179,Forward,Premier League,Leicester City,260
492,Luca Waldschmidt,23,181,Forward,Bundesliga,SC Freiburg,260
493,John McGinn,25,178,Midfielder,Premier League,Aston Villa,260
494,Stanislav Lobotka,25,172,Midfielder,Serie A,SSC Napoli,260
495,Shoya Nakajima,25,164,Forward,Other league,FC Porto,260
496,Gerard Moreno,27,180,Forward,LaLiga,Villarreal CF,260
497,Jonny Otto,26,175,Defender,Premier League,Wolverhampton Wanderers,260
498,Bernard,27,164,Forward,Premier League,Everton FC,260
499,Matt Doherty,28,186,Defender,Premier League,Wolverhampton Wanderers,260
